Species,lambda,Stasis,Crecimiento,Fecunidad,Matriz
R. mangle,1.1887,0.531339283,0.33040541,0.084532142,2014-2015
R. mangle,0.9522,0.862320249,0.06893295,2.09E-07,2015-2016
