ind,t0,t1,F
B1,10,12,0
B2,5,5,0
B3,8,7,8.483606557
B4,8,9,0
B5,7,6,0.368852459
B6,8,9,5.901639344
B7,6,8,0
B8,8,8,2.213114754
B9,7,7,0
B10,7,9,1
B11,6,6,16
B12,5,6,0
B13,5,7,0
B14,5,7,0
B15,4,4,0
B16,4,4,0
B17,7,7,0
B18,10,11,0
B19,3,4,0
B20,7,8,2.581967213
B21,8,10,2
B22,6,7,0
B23,5,4,0
B24,7,7,1
B25,7,9,0
B26,5,7,0
B27,6,7,0
B28,4,5,0
B29,4,5,0
B30,5,6,0
B31,5,7,0
B32,3,3,0
B33,5,5,0
B34,4,4,0
B35,5,6,0
B36,3,3,0
B37,5,6,0
B38,5,5,0
B39,5,0,0
B40,3,0,0
B41,5,6,0
B42,8,8,4.057377049
B43,4,4,0
B44,2,3,0
B45,3,0,0
B46,4,6,0
B47,5,5,0
B48,4,5,0
B49,3,0,0
B50,3,5,0
B51,5,6,0
B52,5,5,0
B53,4,6,0
B54,3,4,0
B55,5,5,0
B56,3,4,0
B57,5,5,0
B58,3,4,0
B59,3,0,0
B60,3,4,0
B61,4,4,0
B62,4,4,0
B63,4,5,0
B64,6,7,0
B65,3,0,0
B66,4,0,0
B67,4,4,0
B68,3,0,0
B69,3,0,0
B70,3,3,0
B71,4,4,0
B73,5,5,0
B74,3,0,0
B75,3,3,0
B76,4,4,0
B77,3,0,0
B78,5,5,0
B79,4,0,0
B80,4,4,0
B81,3,0,0
B82,5,5,0
B83,3,4,0
B84,9,11,0
B85,5,6,0
B86,6,6,0
B87,6,7,0
B88,5,5,0
B89,5,4,0
B90,4,0,0
B91,5,6,0
B92,4,4,0
B93,5,5,0
B94,5,6,0
B96,4,0,0
B97,5,6,0
B98,5,0,0
B99,4,0,0
B100,3,0,0
B101,7,6,0
B102,12,14,13.27868852
B103,7,7,0
B104,8,6,0
B105,5,5,0
B106,5,6,0
B107,3,3,0
B108,6,8,2.213114754
B109,7,6,0
B110,8,12,0
B111,4,0,0
B112,4,5,0
B113,5,5,0
B114,5,5,0
B115,6,0,0
B116,7,7,0
B117,8,8,2
B118,6,5,0
B119,10,10,3.319672131
B120,11,11,9
B121,7,7,0
B122,5,6,0
B123,8,10,12
B124,5,0,0
B126,2,3,0
B127,10,12,7
B128,10,12,0
B129,9,9,0
B130,7,7,0
B131,7,7,0
B132,8,0,0
B133,5,0,0
B134,7,8,0
B135,7,7,0
B136,8,10,2
B137,7,7,2.581967213
B138,8,8,8.852459016
B139,6,6,0
