ind,t0,t1,F
B140,6,8,0
B141,8,10,1
B143,6,7,0
B144,5,5,0
B145,5,7,0
B146,10,10,0
B147,9,11,4
B148,7,7,0
B149,9,10,0
B150,7,0,0
B151,8,10,0
B152,9,11,0
B153,12,14,2
B154,7,11,0
B155,9,14,0
B156,9,10,0
B158,4,4,0
B159,8,10,0
B160,7,9,0
B161,4,5,0
B162,5,0,0
B165,6,6,0
B166,7,6,0
B167,5,0,0
B168,6,0,0
B169,5,6,0
B170,4,4,0
B171,4,4,0
B172,5,4,0
B173,3,0,0
B174,7,6,0
B176,6,0,0
B177,6,6,0
B178,5,4,0
B179,4,3,0
B180,4,0,0
B181,5,0,0
B182,4,3,0
B183,5,5,0
B184,4,4,0
B185,3,4,0
B186,6,6,0
B187,8,8,0
B190,5,0,0
B191,5,6,0
B192,6,6,0
B193,5,4,0
B194,4,0,0
B195,4,4,0
B196,5,0,0
B197,6,8,0
B198,5,0,0
B199,6,5,0
B200,4,4,0
B201,5,6,0
B202,4,0,0
B203,5,7,0
B204,4,4,0
B205,5,6,0
B206,5,0,0
B207,5,0,0
B208,5,5,0
B209,7,7,0
B211,7,8,0
B212,4,4,0
B213,3,0,0
B214,6,5,0
B215,4,5,0
B216,6,7,0
B218,5,7,0
B219,5,4,0
B220,10,13,2
B221,8,10,4
B222,8,7,0
B223,5,5,0
B224,7,6,0
B225,7,7,2.950819672
B226,7,8,0
B227,6,6,0
B228,5,6,0
B229,5,6,0
B230,4,7,0
B231,4,0,0
B232,4,4,0
B233,6,6,0
B234,5,5,0
B235,5,5,0
B236,4,5,0
B237,7,7,0
B238,5,5,0
B239,4,3,0
B240,7,8,0
B241,6,0,0
B242,6,7,0
B243,4,4,0
B244,7,8,0
B245,3,3,0
B246,5,6,0
B247,5,5,0
B248,4,3,0
B249,4,0,0
B250,5,5,0
B251,2,0,0
B252,4,3,0
B253,3,0,0
B254,6,7,0
B255,5,5,0
B256,4,0,0
B257,5,5,0
B258,4,4,0
B259,4,4,0
B260,3,3,0
B261,4,0,0
B262,7,8,0
B263,6,5,0
B264,5,0,0
B265,6,7,0
B266,6,5,0
B267,5,5,0
B268,3,6,0
B269,5,4,0
B270,8,7,0
B271,5,5,0
B272,5,4,0
B273,7,8,0
B274,5,4,0
B275,4,4,0
B277,8,4,5.901639344
B278,9,10,0
B279,10,14,0
B280,8,7,0
B281,8,7,0
B282,13,13,1
B283,6,4,0
B284,3,3,0
B285,12,12,5
B286,10,12,1
B287,9,9,2
B288,7,8,0
B289,8,6,0
B290,5,5,0
B292,6,5,0
B293,6,0,0
B294,4,5,0
B295,8,6,0
B296,5,6,0
B297,6,7,0
B298,3,4,0
B299,5,5,0
B300,3,3,0
B301,6,8,0
B302,5,6,0
B303,7,7,0
B304,8,10,0
B305,9,13,0
B306,8,9,0
B307,8,8,0
B308,4,5,0
B309,4,6,0
B310,9,14,0
B311,7,7,0
B312,6,8,0
B313,6,4,0
B314,9,10,0
B315,7,9,0
B316,7,9,0
B317,6,7,0
B318,8,8,0
B319,9,11,0
B320,8,0,0
B321,5,0,0
B322,8,9,0
B323,3,6,0
B324,8,9,0
B325,9,7,0
B327,8,10,0
B328,8,11,0
B330,6,6,0
B331,4,4,0
B332,6,5,0
B333,4,4,0
B334,6,6,0
B335,6,7,0
B336,5,8,0
B337,7,7,0
B338,6,7,0
B339,5,7,0
B340,6,8,0
B341,4,6,0
B342,3,0,0
B343,8,6,0
B344,5,5,0
B345,11,9,0
B346,8,10,0
B347,6,7,0
B348,6,8,0
B349,6,5,0
B350,3,6,0
B351,3,0,0
B353,4,0,0
B353,0,3,0
P8,0,3,0
B354,0,2,0
BN2,3,0,0
BN8,2,2,0
BN9,3,0,0
BN10,1,0,0
BN12,3,0,0
BN13,3,3,0
BN15,2,3,0
BN17,4,0,0
BN18,2,2,0
BN19,9,9,0
BN21,5,5,0
BN23,5,5,0
BN24,6,6,0
BN25,5,0,0
BN29,29,30,0
BN30,8,7,0
BN31,7,7,0
BN32,4,0,0
BN35,2,0,0
BN37,4,6,0
BN38,4,4,0
BN42,7,0,0
BN45,6,6,0
BN46,9,7,0
BN49,14,20,0
BN51,9,8,0
BN52,10,20,0
BN57,11,13,0
BN59,10,11,0
BN62,11,14,0
BN63,10,15,0
BN64,10,10,0
BN65,10,8,0
BN68,6,7,0
BN 69,23,21,0
BN70,10,7,0
BN73,10,10,0
BN78,7,8,0
BN87,9,9,0
BN88,12,10,0
BN89,9,6,0
BN90,9,9,0
BN91,9,9,0
BN92,12,13,0
BN93,9,8,0
BN94,14,10,0
BN95,9,6,0
BN99,21,18,0
BN100,47,36,0
BN102,4,0,0
BN105,4,4,0
BN108,2,2,0
BN110,7,7,0
BN114,4,5,0
BN115,5,0,0
BN117,6,5,0
BN118,6,6,0
BN120,5,0,0
BN121,7,5,0
BN122,4,4,0
BN125,4,0,0
BN127,4,3,0
BN128,2,4,0
BN130,4,5,0
BN131,6,6,0
BN133,2,0,0
BN134,36,0,0
BN137,2,0,0
BN139,2,0,0
BN140,2,0,0
BN145,5,5,0
BN153,6,4,0
BN159,4,0,0
BN161,4,0,0
BN 185,2,0,0
BN 196,3,0,0
BN 202,1,0,0
BN 203,1,0,0
BN 204,1,0,0
BN 205,0,3,0
BN 206,0,1,0
BN 207,0,3,0
BN 208,0,1,0
BN 209,0,1,0
BN 210,0,3,0
BN 211,0,2,0
BN 212,0,1,0
BN 213,0,4,0
BN 214,0,1,0
BN 215,0,1,0
BN 216,0,1,0
BN 217,0,2,0
BN 218,0,2,0
IR1,33,34,0
IR2,21,22,0
IR3,26,25,0
IR4,21,22,0
IR5,33,33,0
IR6,21,20,0
IR7,9,9,0
IR8,30,31,0
IR9,21,20,0
IR10,23,22,0
IR11,15,19,0
IR12,31,34,0
IR13,29,30,0
IR14,17,26,0
IR15,33,33,0
IR16,32,38,0
IR17,31,16,0
IR18,20,18,0
IR19,27,26,0
IR20,16,16,0
IR21,18,14,0
IR22,27,23,0
IR23,26,41,0
IR24,30,32,0
IR26,40,40,0
IR27,22,23,0
IR28,40,40,0
IR29,84,81,0
IR30,36,0,0
IR32,42,42,0
IR34,9,0,0
IR35,22,22,0
Dummy,1,2,0
